id,name,region,ratio
630,Puerto Rico,Latin America & Caribbean,36.5999984741211
634,Qatar,Middle East & North Africa,86.1999969482422
642,Romania,Europe & Central Asia,52.4000015258789
643,Russian Federation,Europe & Central Asia,60.0999984741211
646,Rwanda,Sub-Saharan Africa,85.4000015258789
682,Saudi Arabia,Middle East & North Africa,51.7999992370605
686,Senegal,Sub-Saharan Africa,68.6999969482422
688,Serbia,Europe & Central Asia,40.7999992370605
694,Sierra Leone,Sub-Saharan Africa,65.1999969482422
703,Slovakia,Europe & Central Asia,51.0999984741211
705,Slovenia,Europe & Central Asia,51.7999992370605
90,Solomon Islands,East Asia & Pacific,63.7000007629395
706,Somalia,Sub-Saharan Africa,52.2000007629395
710,South Africa,Sub-Saharan Africa,39.2000007629395
728,South Sudan,Sub-Saharan Africa,-1
724,Spain,Europe & Central Asia,43.2999992370605
144,Sri Lanka,South Asia,52.5999984741211
729,Sudan,Sub-Saharan Africa,45.4000015258789
740,Suriname,Latin America & Caribbean,50.2999992370605
748,Swaziland,Sub-Saharan Africa,44.5
752,Sweden,Europe & Central Asia,58.9000015258789
756,Switzerland,Europe & Central Asia,65.1999969482422
760,Syrian Arab Republic,Middle East & North Africa,38.9000015258789
158,Taiwan,East Asia & Pacific,-1
762,Tajikistan,Europe & Central Asia,60.7000007629395
834,Tanzania,Sub-Saharan Africa,86
764,Thailand,East Asia & Pacific,71.6999969482422
626,Timor-Leste,East Asia & Pacific,36.2000007629395
768,Togo,Sub-Saharan Africa,75.4000015258789
780,Trinidad and Tobago,Latin America & Caribbean,60.4000015258789
788,Tunisia,Middle East & North Africa,41.2999992370605
792,Turkey,Europe & Central Asia,44.5
795,Turkmenistan,Europe & Central Asia,55
800,Uganda,Sub-Saharan Africa,74.5
804,Ukraine,Europe & Central Asia,54.7000007629395
784,United Arab Emirates,Middle East & North Africa,76.9000015258789
826,United Kingdom,Europe & Central Asia,57.4000015258789
840,United States,North America,57.7999992370605
858,Uruguay,Latin America & Caribbean,61.2999992370605
860,Uzbekistan,Europe & Central Asia,55.0999984741211
548,Vanuatu,East Asia & Pacific,-1
862,Venezuela,Latin America & Caribbean,60.2000007629395
704,Viet Nam,East Asia & Pacific,75.9000015258789
732,Western Sahara,Sub-Saharan Africa,-1
887,Yemen,Middle East & North Africa,40.2999992370605
894,Zambia,Sub-Saharan Africa,68.8000030517578
716,Zimbabwe,Sub-Saharan Africa,81.9000015258789
